  Func                               Cost    Frame   Height
> .literal.tcpip_adapter_stop_dhcp        0        0        1
> .iram1.0.literal@memfault/memfault_cli.o        0        0        1
> .literal.uart_tx_char                 0        0        1
> .literal.tcpip_adapter_set_old_ip_info        0        0        1
> .literal.uart_end_select              0        0        1
> .literal.tcpip_adapter_dhcpc_stop        0        0        1
> .literal.http_on_url                  0        0        1
> .literal.access                       0        0        1
> .literal.esp_tls_handshake            0        0        1
> .literal.esp_tls_conn_new             0        0        1
> .literal.tcpip_adapter_reset_ip_info        0        0        1
> .literal.esp_http_check_response        0        0        1
> .literal.esp_console_get_hint         0        0        1
> .literal.help_command                 0        0        1
> .literal.prv_crash_example            0        0        1
> .literal.http_on_message_complete        0        0        1
> .iram1.1.literal@spi_ram/spi_ram.o        0        0        1
> .literal.xRingbufferCreate            0        0        1
> .literal.xRingbufferGetCurFreeSize        0        0        1
> .literal.http_client_prepare_first_line        0        0        1
> .literal.tcp_poll_read                0        0        1
> .literal.esp_vfs_unregister_fd        0        0        1
> .literal.tcpip_adapter_start_dhcp        0        0        1
> .literal.memfault_reboot_reason_get        0        0        1
> .literal.initialise_memfault_upload_task        0        0        1
> .literal.ws_read_header               0        0        1
> .literal.tcpip_adapter_dhcpc_get_status        0        0        1
> .literal.tcpip_adapter_recv_cb        0        0        1
> .literal.esp_netif_init               0        0        1
> .literal.find_command_by_name         0        0        1
> .literal.ws_get_payload_transport_handle        0        0        1
> .literal.esp_http_client_cleanup        0        0        1
> .literal.esp_transport_ws_send_raw        0        0        1
> .literal.memfault_fault_handling_assert        0        0        1
> .literal.tcpip_adapter_set_ip_info        0        0        1
> .literal.closedir                     0        0        1
> .literal.tcpip_adapter_ip_lost_timer        0        0        1
> INTERRUPT                             0        0        1
> .literal.esp_vfs_link                 0        0        1
> .literal.vRingbufferDelete            0        0        1
> .literal.memfault_platform_http_client_destroy        0        0        1
> .literal.esp_console_get_completion        0        0        1
> .literal.esp_tls_conn_new_async        0        0        1
> .literal.esp_mbedtls_verify_certificate        0        0        1
> .literal.http_on_header_value         0        0        1
> .literal.uart_tcflush                 0        0        1
> .literal.prvCopyItemByteBuf           0        0        1
> .literal.telldir                      0        0        1
> .literal.xRingbufferRemoveFromQueueSetWrite        0        0        1
> .literal.rewrite_ota_seq              0        0        1
> .literal.spi_ram_fifo_write           0        0        1
> .literal.ws_destroy                   0        0        1
> .literal.prvReceiveGeneric            0        0        1
> .literal.uart_open                    0        0        1
> .literal.tcpip_adapter_update_default_netif        0        0        1
> .literal.__wrap_panicHandler          0        0        1
> .literal.esp_tls_set_global_ca_store        0        0        1
> .literal.esp_http_client_fetch_headers        0        0        1
> .literal.esp_mbedtls_conn_delete        0        0        1
> .literal.ws_read                      0        0        1
> .literal.xRingbufferReceiveFromISR        0        0        1
> .literal.ws_write                     0        0        1
> .literal.tcpip_adapter_dhcpc_done        0        0        1
> .literal.get_http_header              0        0        1
> .literal.resolve_host_name            0        0        1
> .literal.esp_tls_conn_http_new_async        0        0        1
> .literal.opendir                      0        0        1
> .literal.uart_rx_char                 0        0        1
> .literal.esp_ota_get_running_partition        0        0        1
> .literal.initialise_reboot_tracking        0        0        1
> .literal.tcpip_adapter_free_pbuf        0        0        1
> .literal.memfault_platform_get_device_info        0        0        1
> .literal.ip4_route_src_hook           0        0        1
> .literal.memfault_platform_coredump_storage_read        0        0        1
> end_arg$2713                          0        0        1
> .literal.esp_transport_ssl_enable_global_ca_store        0        0        1
> .literal.memfault_platform_coredump_save_begin        0        0        1
> .literal.memfault_platform_http_response_get_status        0        0        1
> .literal.esp_tls_get_conn_sockfd        0        0        1
> .literal.tcpip_adapter_up             0        0        1
> .literal.uart_return_char             0        0        1
> .literal.esp_vfs_register_with_id        0        0        1
> .literal.esp_vfs_register_fd_range        0        0        1
> .literal.tcpip_adapter_dhcps_start        0        0        1
> .literal.esp_tls_conn_new_sync        0        0        1
> .literal.esp_ota_end                  0        0        1
> .literal.prv_check2                   0        0        1
> .literal.esp_mbedtls_get_bytes_avail        0        0        1
> .literal.tcpip_adapter_sta_recv_cb        0        0        1
> .literal.esp_console_run              0        0        1
> .literal.set_client_config            0        0        1
> .literal.esp_ota_get_boot_partition        0        0        1
> .literal.tcpip_adapter_dhcps_option        0        0        1
> .literal.esp_console_deinit           0        0        1
> .literal.fcntl                        0        0        1
> .literal.tcpip_adapter_get_hostname        0        0        1
> .literal.esp_transport_ws_set_user_agent        0        0        1
> .literal.sc_ack_send_get_errno        0        0        1
> .literal.esp_tls_get_bytes_avail        0        0        1
> .literal.ws_read_payload              0        0        1
> .literal.initialise_wifi              0        0        1
> .literal.esp_vfs_write                0        0        1
> .literal.prv_get_core_partition        0        0        1
> .literal.uart_fstat                   0        0        1
> .literal.esp_http_client_close        0        0        1
> .literal.esp_transport_ws_get_read_opcode        0        0        1
> .literal.ssl_read                     0        0        1
> .literal.event_handler                0        0        1
> .literal.esp_transport_utils_ms_to_timeval        0        0        1
> .literal.esp_transport_ssl_set_client_key_data        0        0        1
> .literal.tcp_destroy                  0        0        1
> .literal.ota_select_valid             0        0        1
> .literal.tcpip_adapter_ap_recv_cb        0        0        1
> .literal.esp_vfs_register_fd          0        0        1
> .literal.esp_vfs_fstat                0        0        1
> .literal.resolve_dns                  0        0        1
> .literal.esp_vfs_close                0        0        1
> .literal.tcp_connect                  0        0        1
> .literal.esp_transport_ws_get_read_payload_len        0        0        1
> .literal.esp_console_init             0        0        1
> .literal.sc_ack_send                  0        0        1
> .literal.tcflush                      0        0        1
> .literal.ws_poll_write                0        0        1
> .literal.http_on_header_field         0        0        1
> .literal.spi_ram_fifo_get_underrun        0        0        1
> .literal.esp_log_write                0        0        1
> .literal.tcpip_adapter_get_old_ip_info        0        0        1
> .literal.esp_vfs_select_triggered_isr        0        0        1
> .literal.esp_vfs_unlink               0        0        1
> .literal.esp_transport_ws_set_subprotocol        0        0        1
> .literal.prv_post_chunks              0        0        1
> .literal.memfault_esp_port_wifi_available        0        0        1
> .literal.tcpip_adapter_get_sta_list        0        0        1
> .literal.xRingbufferPrintInfo         0        0        1
> .literal.esp_http_client_read         0        0        1
> .literal.xRingbufferAddToQueueSetWrite        0        0        1
> .literal.prv_trace_event_test         0        0        1
> .literal.uart_close                   0        0        1
> .literal._clear_connection_info        0        0        1
> .literal.http_on_chunk_complete        0        0        1
> .literal.xRingbufferAddToQueueSetRead        0        0        1

Peak execution estimate (main + worst-case IV):
  main = 0, worst IV = 0, total = 0

The following functions were not resolved:
